,ccodealp,ccodecow,bti_version,country,year,bti_region,raw_origin,raw_veto,raw_leader,raw_mod,raw_impun,raw_repress
0,ALB,339,2003,Albania,1999,East-Central and Southeast Europe,0,0,0.0,0,0,0
1,ALB,339,2003,Albania,2000,East-Central and Southeast Europe,0,0,0.0,0,0,0
2,ALB,339,2003,Albania,2001,East-Central and Southeast Europe,0,0,0.0,0,0,0
3,ALB,339,2003,Albania,2002,East-Central and Southeast Europe,0,0,0.0,0,0,0
4,ALB,339,2003,Albania,2003,East-Central and Southeast Europe,0,0,0.0,0,0,0
5,ALB,339,2006,Albania,2004,East-Central and Southeast Europe,0,0,0.0,0,0,0
6,ALB,339,2006,Albania,2005,East-Central and Southeast Europe,0,0,0.0,0,0,0
7,ALB,339,2008,Albania,2006,East-Central and Southeast Europe,0,0,0.0,0,0,0
8,ALB,339,2008,Albania,2007,East-Central and Southeast Europe,0,0,0.0,0,0,0
9,ALB,339,2010,Albania,2008,East-Central and Southeast Europe,0,0,0.0,0,0,0
10,ALB,339,2010,Albania,2009,East-Central and Southeast Europe,0,0,0.0,0,0,0
11,ALB,339,2012,Albania,2010,East-Central and Southeast Europe,0,0,0.0,0,0,0
12,ALB,339,2012,Albania,2011,East-Central and Southeast Europe,0,0,0.0,0,0,0
13,ALB,339,2014,Albania,2012,East-Central and Southeast Europe,0,0,0.0,0,0,0
14,ALB,339,2014,Albania,2013,East-Central and Southeast Europe,0,0,0.0,0,0,0
15,ALB,339,2016,Albania,2014,East-Central and Southeast Europe,0,0,0.0,0,0,0
16,ALB,339,2016,Albania,2015,East-Central and Southeast Europe,0,0,0.0,0,0,0
17,ALB,339,2018,Albania,2016,East-Central and Southeast Europe,0,0,0.0,0,0,0
18,DZA,615,2003,Algeria,1999,Middle East and North Africa,1,1,0.80000001,0,1,1
19,DZA,615,2003,Algeria,2000,Middle East and North Africa,1,1,0.80000001,0,1,1
20,DZA,615,2003,Algeria,2001,Middle East and North Africa,1,1,0.80000001,0,1,1
21,DZA,615,2003,Algeria,2002,Middle East and North Africa,1,1,0.80000001,0,1,1
22,DZA,615,2003,Algeria,2003,Middle East and North Africa,1,1,0.80000001,0,1,1
23,DZA,615,2006,Algeria,2004,Middle East and North Africa,1,1,0.80000001,0,1,1
24,DZA,615,2006,Algeria,2005,Middle East and North Africa,1,1,0.80000001,0,1,1
25,DZA,615,2008,Algeria,2006,Middle East and North Africa,1,1,0.80000001,0,1,1
26,DZA,615,2008,Algeria,2007,Middle East and North Africa,1,1,0.80000001,0,1,1
27,DZA,615,2010,Algeria,2008,Middle East and North Africa,1,1,0.80000001,0,1,1
28,DZA,615,2010,Algeria,2009,Middle East and North Africa,1,1,0.80000001,0,1,1
29,DZA,615,2012,Algeria,2010,Middle East and North Africa,1,1,0.80000001,0,1,1
30,DZA,615,2012,Algeria,2011,Middle East and North Africa,1,1,0.80000001,0,1,1
31,DZA,615,2014,Algeria,2012,Middle East and North Africa,1,1,0.80000001,0,1,1
32,DZA,615,2014,Algeria,2013,Middle East and North Africa,1,1,0.80000001,0,1,1
33,DZA,615,2016,Algeria,2014,Middle East and North Africa,1,1,0.80000001,0,1,1
34,DZA,615,2016,Algeria,2015,Middle East and North Africa,1,1,0.80000001,0,1,1
35,DZA,615,2018,Algeria,2016,Middle East and North Africa,1,1,0.80000001,0,1,1
36,ARM,371,2003,Armenia,1999,Post-Soviet Eurasia,0,0,0.0,0,1,0
37,ARM,371,2003,Armenia,2000,Post-Soviet Eurasia,0,0,0.0,0,1,0
38,ARM,371,2003,Armenia,2001,Post-Soviet Eurasia,0,0,0.0,0,1,0
39,ARM,371,2003,Armenia,2002,Post-Soviet Eurasia,0,0,0.0,0,1,0
40,ARM,371,2003,Armenia,2003,Post-Soviet Eurasia,0,0,0.0,0,1,0
41,ARM,371,2006,Armenia,2004,Post-Soviet Eurasia,0,0,0.0,0,1,0
42,ARM,371,2006,Armenia,2005,Post-Soviet Eurasia,0,0,0.0,0,1,0
43,ARM,371,2008,Armenia,2006,Post-Soviet Eurasia,0,0,0.0,0,1,0
44,ARM,371,2008,Armenia,2007,Post-Soviet Eurasia,0,0,0.0,0,1,0
45,ARM,371,2010,Armenia,2008,Post-Soviet Eurasia,0,0,0.0,0,1,1
46,ARM,371,2010,Armenia,2009,Post-Soviet Eurasia,0,0,0.0,1,1,0
47,ARM,371,2012,Armenia,2010,Post-Soviet Eurasia,0,0,0.0,1,1,0
48,ARM,371,2012,Armenia,2011,Post-Soviet Eurasia,0,0,0.0,1,1,0
49,ARM,371,2014,Armenia,2012,Post-Soviet Eurasia,0,0,0.0,1,1,0
50,ARM,371,2014,Armenia,2013,Post-Soviet Eurasia,0,0,0.0,1,1,0
51,ARM,371,2016,Armenia,2014,Post-Soviet Eurasia,0,0,0.0,1,1,0
52,ARM,371,2016,Armenia,2015,Post-Soviet Eurasia,0,0,0.0,1,1,0
53,ARM,371,2018,Armenia,2016,Post-Soviet Eurasia,0,0,0.0,1,1,0
54,BOL,145,2003,Bolivia,1999,Latin America and the Caribbean,0,0,0.80000001,0,0,0
55,BOL,145,2003,Bolivia,2000,Latin America and the Caribbean,0,0,0.80000001,0,0,0
56,BOL,145,2003,Bolivia,2001,Latin America and the Caribbean,0,0,0.80000001,0,0,0
57,BOL,145,2003,Bolivia,2002,Latin America and the Caribbean,0,0,0.80000001,0,0,0
58,BOL,145,2003,Bolivia,2003,Latin America and the Caribbean,0,0,0.0,0,0,1
59,BOL,145,2006,Bolivia,2004,Latin America and the Caribbean,0,0,0.0,0,0,0
60,BOL,145,2006,Bolivia,2005,Latin America and the Caribbean,0,0,0.0,0,0,0
61,BOL,145,2008,Bolivia,2006,Latin America and the Caribbean,0,0,0.0,0,0,1
62,BOL,145,2008,Bolivia,2007,Latin America and the Caribbean,0,0,0.0,0,1,1
63,BOL,145,2010,Bolivia,2008,Latin America and the Caribbean,0,0,0.0,0,0,0
64,BOL,145,2010,Bolivia,2009,Latin America and the Caribbean,0,0,0.0,0,0,0
65,BOL,145,2012,Bolivia,2010,Latin America and the Caribbean,0,0,0.0,0,1,0
66,BOL,145,2012,Bolivia,2011,Latin America and the Caribbean,0,0,0.0,0,0,0
67,BOL,145,2014,Bolivia,2012,Latin America and the Caribbean,0,0,0.0,0,0,0
68,BOL,145,2014,Bolivia,2013,Latin America and the Caribbean,0,0,0.0,0,1,1
69,BOL,145,2016,Bolivia,2014,Latin America and the Caribbean,0,0,0.0,0,1,0
70,BOL,145,2016,Bolivia,2015,Latin America and the Caribbean,0,0,0.0,1,1,0
71,BOL,145,2018,Bolivia,2016,Latin America and the Caribbean,0,0,0.0,0,1,0
72,BIH,346,2003,Bosnia and Herzegovina,1999,East-Central and Southeast Europe,444,444,444.0,444,444,444
73,BIH,346,2003,Bosnia and Herzegovina,2000,East-Central and Southeast Europe,444,444,444.0,444,444,444
74,BIH,346,2003,Bosnia and Herzegovina,2001,East-Central and Southeast Europe,444,444,444.0,444,444,444
75,BIH,346,2003,Bosnia and Herzegovina,2002,East-Central and Southeast Europe,444,444,444.0,444,444,444
76,BIH,346,2003,Bosnia and Herzegovina,2003,East-Central and Southeast Europe,444,444,444.0,444,444,444
77,BIH,346,2006,Bosnia and Herzegovina,2004,East-Central and Southeast Europe,444,444,444.0,444,444,444
78,BIH,346,2006,Bosnia and Herzegovina,2005,East-Central and Southeast Europe,444,444,444.0,444,444,444
79,BIH,346,2008,Bosnia and Herzegovina,2006,East-Central and Southeast Europe,444,444,444.0,444,444,444
80,BIH,346,2008,Bosnia and Herzegovina,2007,East-Central and Southeast Europe,0,0,0.0,0,0,0
81,BIH,346,2010,Bosnia and Herzegovina,2008,East-Central and Southeast Europe,0,0,0.0,0,0,0
82,BIH,346,2010,Bosnia and Herzegovina,2009,East-Central and Southeast Europe,0,0,0.0,0,0,0
83,BIH,346,2012,Bosnia and Herzegovina,2010,East-Central and Southeast Europe,0,0,0.0,0,0,0
84,BIH,346,2012,Bosnia and Herzegovina,2011,East-Central and Southeast Europe,0,0,0.0,0,0,0
